Id,Age,Rank,Year,Time,Pace,Sex
163,54,2151,2008,18716,714,1
163,60,1963,2015,17673,674,1
163,56,1211,2010,15809,603,1
163,60,2913,2014,20011,763,1
163,55,1353,2009,15765,601,1
164,45,1188,2016,15101,577,1
165,52,2182,2014,17756,677,1
165,50,1605,2015,16423,626,1
165,50,1446,2016,15892,607,1
166,50,601,2016,13617,520,1
167,35,2901,2016,22166,847,0
168,39,1899,2014,17123,653,0
168,40,1724,2016,16613,635,0
169,45,479,2016,13283,507,0
169,45,365,2015,13081,499,0
170,45,2681,2015,23086,881,1
170,45,2462,2016,19088,729,1
171,25,746,2016,14013,535,0
172,50,809,2016,14142,540,1
173,30,294,2016,12611,482,1
174,35,2331,2016,18524,707,0
175,25,2923,2016,22504,859,0
176,50,304,2016,12640,483,1
177,25,601,2009,13697,522,1
177,26,224,2010,12703,484,1
177,28,159,2012,11910,454,1
177,30,222,2014,12753,486,1
177,30,217,2016,12325,471,1
178,35,26,2016,10750,411,1
178,35,35,2015,10794,411,1
179,35,946,2016,14419,551,1
180,40,2943,2016,22857,873,0
180,40,2740,2015,25125,958,0
180,40,3654,2012,21393,816,0
180,42,3407,2014,22487,858,0
181,55,736,2016,13996,535,1
182,30,1065,2016,14790,565,0
183,45,891,2016,14323,547,1
184,35,2283,2016,18317,700,1
185,35,2020,2016,17402,665,0
186,35,2822,2016,21276,813,0
187,50,1907,2016,17095,653,0
188,35,1925,2016,17140,655,1
189,45,1448,2016,15897,607,1
190,50,582,2016,13556,518,1
191,40,572,2016,13547,518,1
192,35,1555,2016,16117,616,0
193,40,110,2016,11666,446,1
193,33,822,2005,15342,585,1
194,50,617,2016,13652,522,1
194,48,1825,2013,6792,518,1
195,60,2865,2016,21776,832,1
195,58,2796,2014,19626,749,1
195,28,2796,2014,19626,749,1
195,55,1487,2015,16144,616,1
196,40,1401,2016,15752,602,1
196,40,1566,2014,16380,625,1
196,40,1495,2015,16158,616,1
197,45,2513,2016,19320,738,1
198,50,1339,2015,15772,601,1
198,50,2866,2013,7165,546,1
198,50,1074,2016,14817,566,1
199,35,1624,2016,16314,623,1
200,45,2795,2016,21015,803,0
201,50,1347,2016,15558,594,0
201,47,3595,2013,7378,563,0
202,42,269,2014,12979,495,1
202,40,405,2016,13035,498,1
203,35,773,2016,14063,537,0
204,30,1063,2016,14785,565,0
205,30,602,2015,13798,526,1
205,33,2103,2014,17552,669,1
205,35,1207,2016,15146,579,1
206,40,464,2016,13227,505,1
207,35,2567,2016,19542,746,1
208,30,285,2016,12582,481,0
209,45,514,2016,13368,511,1
210,30,632,2016,13692,523,1
211,65,2737,2016,20580,786,1
212,45,30,2014,10837,413,1
212,45,49,2016,10990,420,1
213,35,2756,2016,20744,792,0
214,60,1176,2016,15064,575,0
214,60,1107,2015,15132,577,0
214,57,1478,2012,15401,587,0
214,50,1526,2006,17249,658,0
214,59,1134,2014,15440,589,0
215,45,989,2016,14538,555,1
216,40,353,2016,12828,490,1
217,30,1499,2016,16010,612,0
218,40,513,2016,13366,511,1
219,25,1659,2016,16425,627,1
220,25,1831,2016,16884,645,1
221,60,3033,2016,25603,978,0
221,53,2755,2009,24431,932,0
222,40,101,2016,11595,443,0
223,30,624,2016,13668,522,0
224,30,120,2016,11759,449,1
225,30,881,2016,14309,547,1
226,45,384,2015,13138,501,1
226,45,427,2016,13107,501,1
227,50,2087,2016,17587,672,0
228,40,1118,2016,14912,570,1
229,35,1519,2016,16049,613,0
230,30,1540,2016,16097,615,1
231,45,29,2016,10788,412,1
232,30,1361,2016,15606,596,1
233,40,52,2016,11032,422,1
234,35,370,2016,12897,493,1
234,26,478,2007,14022,535,1
235,20,1946,2016,17212,657,1
236,50,2464,2016,19105,730,0
237,45,788,2016,14091,538,1
238,35,1891,2016,17047,651,1
239,30,530,2016,13432,513,1
240,20,436,2016,13128,502,0
240,19,523,2013,6005,458,0
241,45,971,2016,14492,554,0
242,30,145,2016,11907,455,0
243,30,2441,2016,19028,727,0
244,40,1034,2016,14686,561,0
245,35,1537,2016,16092,615,1
246,35,822,2016,14167,541,1
247,50,2753,2016,20711,791,0
248,34,23,2009,10373,395,1
248,36,166,2011,11693,446,1
248,40,67,2016,11158,426,1
248,35,105,2010,11816,451,1
248,31,47,2006,10731,409,1
249,35,318,2016,12671,484,1
250,40,2818,2016,21234,811,0
251,45,1730,2016,16624,635,0
252,45,1381,2015,15860,605,0
252,42,1159,2009,15273,582,0
252,44,2353,2011,17074,651,0
252,45,2211,2012,16810,641,0
252,47,1998,2014,17320,661,0
252,45,1652,2016,16397,626,0
253,40,1115,2015,15162,578,0
253,40,507,2016,13355,510,0
254,25,2101,2016,17655,674,1
255,40,3040,2016,25788,985,0
256,30,2117,2016,17726,677,0
257,35,81,2016,11374,435,1
258,45,2245,2016,18161,694,0
259,30,2400,2016,18876,721,1
260,35,769,2016,14056,537,1
261,45,196,2016,12199,466,1
262,35,1851,2016,16955,648,0
263,35,2071,2016,17540,670,1
264,45,1292,2015,15637,596,1
264,45,1283,2016,15394,588,1
265,40,1291,2016,15406,588,0
266,45,2036,2016,17470,667,0
267,30,3039,2016,25776,984,0
268,40,990,2016,14547,556,0
269,30,363,2016,12861,491,0
270,35,2120,2016,17729,677,1
271,50,275,2016,12561,480,1
271,48,208,2012,12168,464,1
271,47,281,2011,12303,469,1
271,46,242,2010,12812,489,1
271,50,280,2014,13017,496,1
271,50,204,2015,12464,475,1
272,35,765,2016,14046,537,1
273,45,319,2016,12675,484,1
274,55,2006,2016,17368,663,1
275,35,625,2016,13671,522,1
276,45,2255,2016,18196,695,0
277,40,1251,2016,15265,583,1
278,50,1161,2016,15030,574,1
278,39,337,2003,13369,510,1
279,60,2730,2016,20535,784,1
280,30,1547,2016,16105,615,1
280,30,1246,2015,15512,592,1
281,35,651,2016,13745,525,1
282,35,2443,2016,19029,727,0
283,20,450,2016,13172,503,1
284,25,2702,2016,20310,776,0
285,30,1593,2016,16221,620,0
286,35,1768,2016,16725,639,0
287,20,2932,2016,22658,865,1
287,15,2011,2015,17820,680,1
288,40,1961,2016,17248,659,1
289,35,1061,2016,14776,564,1
289,35,1303,2005,17505,668,1
290,50,2648,2016,19903,760,0
291,55,2579,2016,19612,749,1
291,50,2231,2015,18956,723,1
292,37,1829,2010,17377,663,1
292,40,2019,2016,17399,665,1
292,38,1271,2011,14702,561,1
292,36,1692,2009,16731,638,1
293,35,1377,2016,15678,599,0
294,35,1530,2016,16081,614,1
295,35,1225,2016,15191,580,1
295,35,504,2015,13479,514,1
296,35,503,2016,13341,510,1
297,40,1964,2016,17252,659,1
298,30,2009,2016,17376,664,0
299,45,777,2016,14074,538,0
300,40,1951,2016,17219,658,0
301,45,2412,2016,18910,722,1
302,35,2257,2016,18201,695,0
303,45,1110,2016,14896,569,1
304,50,2707,2016,20341,777,1
304,41,2199,2014,17793,679,1
304,51,2993,2014,20265,773,1
305,40,1301,2016,15427,589,1
306,20,2596,2016,19673,751,1
306,17,2416,2012,17276,659,1
307,35,679,2016,13839,529,1
308,45,1204,2016,15137,578,0
308,0,1357,2014,15975,609,0
309,25,1991,2016,17328,662,1
310,30,2695,2016,20270,774,0
311,35,2200,2016,17981,687,0
312,50,212,2016,12285,469,1
313,50,142,2016,11895,454,1
314,40,1602,2016,16252,621,0
314,37,2046,2012,16457,628,0
314,38,2389,2013,7010,535,0
314,35,2254,2010,18847,719,0
315,50,241,2015,12652,482,1
315,50,475,2016,13270,507,1
316,40,761,2016,14038,536,1
317,50,998,2016,14569,557,1
318,35,2684,2016,20171,770,0
319,20,2790,2016,20976,801,0
320,33,1284,2007,16664,636,0
320,20,2898,2016,22127,845,0
320,32,1525,2006,17241,658,0
320,20,2734,2015,24866,949,0
321,40,1590,2016,16203,619,1
322,27,1464,2011,15165,578,1
322,30,829,2016,14185,542,1
322,30,1173,2014,15524,592,1
322,30,885,2015,14479,552,1
322,28,1976,2012,16319,622,1
323,40,868,2014,14803,565,1
323,40,219,2016,12332,471,1
323,40,358,2015,13074,499,1
324,40,230,2015,12578,480,1
324,35,448,2008,13360,509,1
324,36,211,2009,12392,472,1
324,40,360,2016,12846,491,1
325,30,2023,2016,17409,665,0
326,55,2388,2015,19757,754,1
326,57,3341,2014,22040,841,1
326,54,3019,2011,19114,729,1
326,55,2667,2016,20008,764,1
326,55,2957,2012,18554,708,1
326,53,2604,2010,20622,787,1
327,40,2052,2016,17503,669,0
328,20,3037,2016,25698,981,1
328,19,3518,2011,23708,904,1
329,45,2451,2016,19055,728,1
330,40,1366,2016,15619,597,0
331,55,1016,2016,14625,559,1
332,30,1346,2016,15557,594,0
333,25,783,2016,14084,538,0
334,40,555,2016,13494,516,0
335,45,2409,2016,18901,722,0
336,55,666,2016,13786,527,1
337,40,1496,2016,16010,612,1
338,30,16,2016,10585,404,1
339,20,1631,2016,16346,624,1
340,30,419,2016,13098,500,1
341,39,2279,2009,18890,721,1
341,31,1766,2007,18285,697,1
341,30,981,2016,14511,554,1
342,45,988,2016,14535,555,1
343,35,884,2016,14312,547,1
344,45,2809,2016,21143,807,1
345,25,2958,2016,23238,887,0
346,20,2364,2015,19641,749,0
346,23,1848,2014,16985,648,0
346,25,2492,2016,19216,734,0
347,54,878,2007,15441,589,1
347,40,1712,2016,16565,633,1
347,52,1119,2010,15579,594,1
347,35,1863,2016,16974,648,1
347,44,1556,2014,16362,624,1
347,33,3637,2013,7393,564,1
347,40,1548,2015,16272,621,1
347,52,1706,2007,18038,688,1
348,50,1233,2016,15227,582,1
349,40,2574,2016,19585,748,1
350,35,1705,2016,16553,632,1
351,40,86,2016,11394,435,0
351,39,213,2012,12205,465,0
351,41,214,2014,12684,484,0
351,40,66,2015,11448,436,0
352,46,207,2007,12848,490,1
352,47,118,2008,11693,446,1
352,50,53,2015,11154,425,1
352,53,84,2014,11722,447,1
352,55,376,2016,12932,494,1
353,40,1140,2016,14958,571,1
353,40,2726,2013,7120,543,1
354,35,845,2015,14380,548,1
354,35,328,2016,12722,486,1
355,40,473,2016,13258,507,1
356,38,2846,2014,19784,755,1
356,40,2234,2016,18119,692,1
356,36,3549,2012,20738,791,1
357,35,1635,2016,16350,625,1
358,30,2557,2016,19517,745,0
359,30,2109,2016,17695,676,0
360,45,468,2016,13242,506,0
361,40,862,2016,14260,545,1
362,50,2361,2016,18655,712,1
363,30,609,2016,13634,521,1
364,53,2387,2013,7008,534,1
364,55,1100,2016,14872,568,1
365,30,1449,2016,15897,607,1
366,45,91,2016,11450,438,1
367,30,2757,2016,20744,792,1
367,30,2533,2015,21021,802,1
367,30,3427,2012,20185,770,1
367,29,3534,2011,24273,926,1
368,15,1857,2016,16965,648,0
369,45,1174,2016,15062,575,1
370,35,641,2016,13721,524,0
371,35,147,2016,11943,456,1
372,30,2194,2016,17965,686,1
373,40,721,2016,13965,533,0
374,50,1086,2016,14837,567,1
374,46,586,2009,13662,521,1
375,40,1740,2016,16637,635,0
375,35,1772,2015,16978,648,0
376,40,1995,2016,17346,663,0
377,30,2433,2016,19005,726,0
378,55,2124,2015,18320,699,0
378,60,2586,2016,19627,750,0
378,51,1690,2007,17980,686,0
378,54,1306,2010,16031,611,0
378,55,2100,2011,16520,630,0
378,52,1432,2008,16165,616,0
379,30,193,2016,12166,465,1
380,50,1824,2016,16873,644,0
380,47,2264,2012,16931,646,0
380,50,1315,2015,15710,599,0
381,50,2664,2016,19998,764,0
382,40,90,2016,11447,437,1
383,30,1289,2016,15403,588,1
383,25,562,2015,13674,521,1
384,20,1862,2015,17274,659,0
384,25,2641,2016,19864,759,0
384,23,2861,2014,19843,757,0
385,25,1236,2016,15231,582,1
386,40,461,2016,13217,505,1
387,35,1233,2015,15490,591,1
387,38,2036,2014,17414,664,1
387,40,2012,2016,17385,664,1
388,35,581,2016,13555,518,1
389,25,2108,2016,17691,676,1
