,Id,Age,Rank,Year,Time,Pace,Sex,Temp,halfMarathonTime,yrsSinceLast,raceCount,prevRaceCount,nTime,nPace,nRank
11023,6706,65,581,2010,14050,536,1,21.7,,5,4,1,0.201249132547,0.191755736602,0.191968658178
11024,6707,45,1040,2005,16265,620,1,18.9,,0,1,0,0.590005678592,0.298911828278,0.298828125
11025,6708,30,5,2005,8611,328,1,18.9,,0,1,0,0.0022714366837,0.0136766788403,0.013671875
11026,6709,45,1687,2005,22253,849,0,18.9,,0,1,0,0.957410562181,0.522061563688,0.5224609375
11027,6710,25,785,2005,15186,579,0,18.9,,0,2,0,0.445201590006,0.258701647164,0.2587890625
11028,6710,30,1349,2009,15761,601,0,14.4,,4,2,1,0.486642599278,0.281696445224,0.281524926686
11029,6711,30,217,2005,12768,487,1,18.9,,0,1,0,0.12265758092,0.168592084669,0.1689453125
11030,6712,50,1020,2005,16179,617,1,18.9,,0,1,0,0.578648495173,0.295706938958,0.2958984375
11031,6713,65,137,2005,12213,466,1,18.9,,0,1,0,0.0772288472459,0.147909368711,0.1484375
11032,6714,30,1337,2005,17699,675,0,18.9,,0,1,0,0.758659852357,0.352351494373,0.3525390625
11033,6715,35,447,2005,13936,531,1,18.9,,0,1,0,0.253265190233,0.212118953566,0.2119140625
11034,6716,40,682,2005,14760,563,1,18.9,,0,1,0,0.3867120954,0.242826265186,0.2431640625
11035,6717,35,90,2005,11640,444,1,18.9,,0,1,0,0.0505394662124,0.126555861966,0.126953125
11036,6718,25,1474,2005,18708,714,0,18.9,,0,1,0,0.836456558773,0.389953044645,0.390625
11037,6719,50,3535,2012,20689,789,1,20.6,,6,3,2,0.90314336826,0.501547987616,0.50158061117
11038,6719,45,2188,2006,20948,799,1,21.1,,1,3,1,0.882922890593,0.417838980252,0.418181818182
11039,6719,45,1620,2005,20516,783,1,18.9,,0,3,0,0.919363997729,0.457330252665,0.4580078125
11040,6720,35,1049,2005,16316,622,0,18.9,,0,1,0,0.59511641113,0.300812402176,0.30078125
11041,6721,35,456,2012,13188,503,0,20.6,,1,4,2,0.116279069767,0.199951751035,0.200210748156
11042,6721,35,1170,2013,13541,516,0,19.4,6487.0,1,4,3,0.308036890646,0.341702072872,0.341216216216
11043,6721,30,518,2005,14137,539,0,18.9,,0,4,0,0.293583191369,0.219609450697,0.2197265625
11044,6721,35,434,2011,12759,486,0,11.1,,6,4,1,0.122420130054,0.194778216773,0.194236926361
11045,6722,35,1128,2005,16645,635,0,18.9,,0,1,0,0.639977285633,0.313072967131,0.3134765625
11046,6723,40,1362,2005,17866,681,1,18.9,,0,3,0,0.77285633163,0.358574942237,0.3583984375
